"year \ indicator","BMI adults % normal (18.5-24.99)","BMI adults % obese (>=30.0)","BMI adults % overweight (>=25.0)","BMI adults % pre-obese (25.0-29.99)","BMI adults % underweight (<18.5)","BMI females % normal (18.5-24.99)","BMI females % obese (>=30.0)","BMI females % overweight (>=25.0)","BMI females % pre-obese (25.0-29.99)","BMI females % underweight (<18.5)","BMI males % normal (18.5-24.99)","BMI males % obese (>=30.0)","BMI males % overweight (>=25.0)","BMI males % pre-obese (25.0-29.99)","BMI males % underweight (<18.5)","DES Cereals (calories/day)","DES Fruits, Vegetables, Pulses, Nuts (calories/day)","DES Meat, Fish, Milk, Eggs (calories/day)","DES Oils, Fats, Sugars (calories/day)","DES Other  (calories/day)","DES Roots, Tubers (calories/day)","DES Total (calories/day)","Population Females (1000)","Population Males (1000)","Population Total (1000)"
"1960","50.8","13.5","45.2","","4.0","53.2","16.1","41.2","","5.6","48.3","10.7","49.4","","2.3","","","","","","","","","",""
"1961","50.8","13.5","45.2","","4.0","53.2","16.1","41.2","","5.6","48.3","10.7","49.4","","2.3","627","194","812","1,033","126","90","2,883","95,559","93,532","189,091"
"1962","50.8","13.5","45.2","","4.0","53.2","16.1","41.2","","5.6","48.3","10.7","49.4","","2.3","612","192","804","1,036","128","87","2,860","97,061","94,893","191,954"
"1963","","","","","","","","","","","","","","","","609","192","815","1,026","129","90","2,861","98,518","96,196","194,714"
"1964","","","","","","","","","","","","","","","","615","188","830","1,070","132","91","2,925","99,918","97,417","197,336"
"1965","","","","","","","","","","","","","","","","615","185","823","1,072","135","90","2,921","101,252","98,543","199,796"
"1966","","","","","","","","","","","","","","","","611","189","839","1,079","140","95","2,952","102,518","99,562","202,080"
"1967","","","","","","","","","","","","","","","","616","194","838","1,096","143","89","2,975","103,719","100,484","204,203"
"1968","","","","","","","","","","","","","","","","605","195","847","1,111","149","91","2,999","104,861","101,348","206,209"
"1969","","","","","","","","","","","","","","","","606","211","829","1,139","152","93","3,030","105,952","102,210","208,162"
"1970","","","","","","","","","","","","","","","","586","189","832","1,161","161","96","3,026","107,003","103,108","210,111"
"1971","49.3","14.4","47.0","","3.7","57.1","16.7","41.0","","4.9","44.1","12.0","53.5","","2.4","590","201","846","1,156","163","92","3,047","108,010","104,062","212,072"
"1972","49.3","14.4","47.0","","3.7","57.1","16.7","41.0","","4.9","44.1","12.0","53.5","","2.4","581","182","847","1,184","169","93","3,056","108,983","105,061","214,043"
"1973","49.3","14.4","47.0","","3.7","57.1","16.7","41.0","","4.9","44.1","12.0","53.5","","2.4","592","206","816","1,152","174","91","3,031","109,951","106,090","216,041"
"1974","49.3","14.4","47.0","","3.7","57.1","16.7","41.0","","4.9","44.1","12.0","53.5","","2.4","588","199","819","1,144","178","92","3,021","110,956","107,122","218,078"
"1975","","","","","","","","","","","","","","","","615","212","788","1,137","177","94","3,023","112,025","108,140","220,165"
"1976","50.5","14.7","46.4","","3.1","53.9","16.8","41.6","","4.5","46.9","12.3","51.5","","1.6","635","200","822","1,214","182","94","3,147","113,173","109,138","222,312"
"1977","50.5","14.7","46.4","","3.1","53.9","16.8","41.6","","4.5","46.9","12.3","51.5","","1.6","623","207","821","1,203","182","92","3,128","114,392","110,128","224,521"
"1978","50.5","14.7","46.4","","3.1","53.9","16.8","41.6","","4.5","46.9","12.3","51.5","","1.6","614","205","822","1,220","191","91","3,143","115,657","111,128","226,785"
"1979","50.5","14.7","46.4","","3.1","53.9","16.8","41.6","","4.5","46.9","12.3","51.5","","1.6","645","223","831","1,220","194","89","3,203","116,929","112,162","229,091"
"1980","50.5","14.7","46.4","","3.1","53.9","16.8","41.6","","4.5","46.9","12.3","51.5","","1.6","643","215","833","1,192","200","86","3,169","118,182","113,246","231,428"
"1981","","","","","","","","","","","","","","","","650","206","833","1,231","199","89","3,209","119,410","114,390","233,800"
"1982","","","","","","","","","","","","","","","","653","215","823","1,206","195","88","3,179","120,623","115,586","236,208"
"1983","","","","","","","","","","","","","","","","639","214","845","1,233","196","90","3,216","121,823","116,815","238,638"
"1984","","","","","","","","","","","","","","","","649","226","853","1,242","196","93","3,259","123,017","118,050","241,067"
"1985","","","","","","","","","","","","","","","","680","226","871","1,294","197","95","3,364","124,212","119,272","243,484"
"1986","","","","","","","","","","","","","","","","699","225","875","1,252","190","95","3,336","125,404","120,473","245,877"
"1987","","","","","","","","","","","","","","","","741","249","886","1,276","191","94","3,437","126,596","121,663","248,259"
"1988","42.5","22.7","55.0","","2.5","45.8","25.5","50.5","","3.7","39.2","19.9","59.6","","1.2","753","232","880","1,300","186","92","3,444","127,803","122,859","250,663"
"1989","42.5","22.7","55.0","","2.5","45.8","25.5","50.5","","3.7","39.2","19.9","59.6","","1.2","766","243","871","1,269","183","94","3,425","129,048","124,088","253,136"
"1990","42.5","11.6","55.0","","2.5","45.8","11.5","50.5","","3.7","39.2","11.5","59.6","","1.2","803","238","872","1,293","187","94","3,486","130,343","125,369","255,712"
"1991","42.5","12.6","55.0","","2.5","45.8","12.7","50.5","","3.7","39.2","12.2","59.6","","1.2","809","230","878","1,316","181","100","3,513","131,696","126,706","258,402"
"1992","42.5","12.6","55.0","","2.5","45.8","12.7","50.5","","3.7","39.2","12.3","59.6","","1.2","822","241","893","1,318","177","97","3,548","133,100","128,092","261,192"
"1993","42.5","13.7","55.0","","2.5","45.8","13.9","50.5","","3.7","39.2","13.2","59.6","","1.2","843","240","891","1,342","175","100","3,591","134,547","129,518","264,065"
"1994","42.5","22.7","55.0","","2.5","45.8","25.5","50.5","","3.7","39.2","14.7","59.6","","1.2","853","250","910","1,365","171","104","3,653","136,020","130,970","266,991"
